,Close,Date,High,Low,Open,Trades,Volume
531,4.1843,2016-07-12,4.2494,4.0824,4.112,638,29529.6544599
532,4.1734,2016-07-13,4.2425,4.15,4.18,305,6627.50622682
533,4.1701,2016-07-14,4.2,4.1258,4.15,237,4458.09198629
534,4.19,2016-07-15,4.1999,4.1472,4.1959,186,3451.11999009
535,4.16,2016-07-16,4.2093,4.1115,4.1613,207,9827.77210379
536,4.1928,2016-07-17,4.2852,4.152,4.16,366,6663.47273631
537,4.1521,2016-07-18,4.2377,4.1521,4.2187,226,6745.15128201
538,4.19,2016-07-19,4.1974,4.147,4.1967,282,3456.86855072
539,4.1574,2016-07-20,4.18,4.1082,4.16,329,10962.2607586
540,4.114,2016-07-21,4.1513,4.0841,4.1302,557,11365.3361977
541,4.036,2016-07-22,4.1641,3.9617,4.1181,1354,32762.9420021
542,4.0596,2016-07-23,4.0628,4.014,4.0358,354,2392.81807539
543,4.0933,2016-07-24,4.1094,4.0084,4.041,762,25879.7606213
544,4.0102,2016-07-25,4.0922,3.9998,4.085,414,14050.484038
545,3.98,2016-07-26,4.0559,3.9008,4.0457,1133,31390.3975215
546,3.9536,2016-07-27,4.0079,3.9258,3.97,655,3286.85785422
547,3.993,2016-07-28,4.014,3.9517,3.9633,1119,5450.15738923
548,4.0767,2016-07-29,4.1148,3.9553,3.966,692,9329.24399672
549,4.0551,2016-07-30,4.115,4.02,4.0985,360,18253.1274753
550,3.942,2016-07-31,4.08,3.9,4.0786,693,20563.3421446
551,3.8534,2016-08-01,3.9599,3.8519,3.9315,1119,43150.0548191
552,3.7332,2016-08-02,3.9106,3.7,3.8837,915,27222.869787
553,3.56,2016-08-10,3.88,3.5491,3.75,392,54609.3118791
554,3.746,2016-08-11,3.746,3.46,3.56,608,51684.6898479
555,3.66,2016-08-12,3.77,3.61,3.74,804,41162.9169862
556,3.69,2016-08-13,3.75,3.5791,3.66,1464,64668.461632
557,3.63,2016-08-14,3.7058,3.5829,3.69,556,17362.5482398
558,3.53,2016-08-15,3.65,3.49,3.63,1002,78055.5773137
559,3.6,2016-08-16,3.63,3.5195,3.53,844,22757.5305228
560,3.5702,2016-08-17,3.61,3.56,3.594,684,26543.1001482
561,3.5907,2016-08-18,3.639,3.57,3.59,220,15358.3567658
562,3.6226,2016-08-19,3.6241,3.57,3.5907,40,801.51745824
563,3.6239,2016-08-20,3.6295,3.579,3.5901,28,571.92458016
564,3.6257,2016-08-21,3.6348,3.5996,3.6219,48,692.78951477
565,3.672,2016-08-22,3.687,3.5996,3.6297,107,2255.57831004
566,3.95,2016-08-23,4.02,3.67,3.6788,1440,24637.5626693
567,3.8414,2016-08-24,3.9685,3.8414,3.95,600,8167.18980589
568,3.8159,2016-08-25,3.8688,3.7683,3.8501,188,3152.91159556
569,3.84,2016-08-26,3.8596,3.775,3.8159,65,1090.06570349
570,3.7586,2016-08-27,3.848,3.7103,3.84,109,3040.57329734
571,3.7645,2016-08-28,3.7808,3.708,3.7301,60,2202.28642771
572,3.776,2016-08-29,3.8085,3.746,3.781,116,2532.51094384
573,3.803,2016-08-30,3.85,3.74,3.7699,149,5607.83558994
574,3.8107,2016-08-31,3.817,3.7771,3.803,49,963.50039373
575,3.8262,2016-09-01,3.866,3.799,3.8,66,1639.84332999
576,3.8048,2016-09-02,3.855,3.8,3.835,72,3757.86478126
577,3.9154,2016-09-03,3.9863,3.8132,3.8217,223,5683.13813636
578,4.0101,2016-09-04,4.108,3.9095,3.945,285,18293.5175871
579,3.9781,2016-09-05,4.0969,3.964,4.0389,363,13601.7643434
580,3.97,2016-09-06,4.0199,3.9295,4.005,183,9208.98147874
581,4.0051,2016-09-07,4.007,3.9211,3.97,187,4853.81285973
582,4.0289,2016-09-08,4.0599,3.9753,4.0043,202,7514.0133034
583,3.9789,2016-09-09,4.04,3.9573,4.0285,121,4190.18154967
584,4.0199,2016-09-10,4.0221,3.98,4.003,19,282.86003979
585,3.8977,2016-09-11,4.0193,3.873,4.0011,281,8146.60675915
586,3.8569,2016-09-12,3.8992,3.7274,3.8896,117,6542.24297621
587,3.845,2016-09-13,3.8799,3.81,3.818,34,934.53735263
588,3.9017,2016-09-14,3.9017,3.85,3.878,35,637.95496284
589,3.86,2016-09-15,3.887,3.85,3.85,92,1568.74267989
590,3.83,2016-09-16,3.8833,3.825,3.8361,198,1676.52466836
591,3.811,2016-09-17,3.83,3.8025,3.83,22,219.32199081
592,3.8334,2016-09-18,3.85,3.8066,3.81,30,516.03297933
593,3.837,2016-09-19,3.8758,3.837,3.85,48,2225.84282999
594,3.7948,2016-09-20,3.8587,3.7948,3.8301,116,2052.38950526
595,3.8011,2016-09-21,3.81,3.7151,3.793,605,26792.0150958
596,3.7506,2016-09-22,3.7875,3.7501,3.78,36,794.23777133
597,3.808,2016-09-23,3.827,3.7501,3.7501,82,2211.79927605
598,3.8234,2016-09-24,3.8609,3.8054,3.8054,12,1142.53170267
599,3.8,2016-09-25,3.834,3.8,3.82,20,1273.6864627
600,3.8582,2016-09-26,3.8881,3.8254,3.826,21,453.51886827
601,3.836,2016-09-27,3.8956,3.836,3.8541,44,634.31192521
602,3.857,2016-09-28,3.8771,3.8269,3.8771,21,433.66443913
603,3.8529,2016-09-29,3.8687,3.8291,3.8622,62,3255.91782753
604,3.8486,2016-09-30,3.8489,3.8175,3.83,22,1348.56372832
605,3.85,2016-10-01,3.8688,3.8378,3.8378,8,54.0145
606,3.8491,2016-10-02,3.854,3.814,3.8521,37,795.26595562
607,3.8165,2016-10-03,3.8555,3.8121,3.8443,19,807.6792658
608,3.8142,2016-10-04,3.8633,3.8051,3.8342,20,438.86325706
609,3.83,2016-10-05,3.86,3.83,3.841,26,960.60346854
610,3.8478,2016-10-06,3.8554,3.8165,3.833,39,611.72609196
611,3.8649,2016-10-07,3.8857,3.8463,3.8463,56,3318.65912417
612,3.8295,2016-10-08,3.8888,3.8254,3.8721,46,3468.25199509
613,3.7866,2016-10-09,3.8479,3.7604,3.82,59,1608.41690477
614,3.784,2016-10-10,3.859,3.7685,3.8216,42,1677.10415384
615,3.8304,2016-10-11,3.8554,3.7714,3.8147,104,5671.26300769
616,3.81,2016-10-12,3.8438,3.7786,3.8438,59,3339.44692826
617,3.9329,2016-10-13,3.95,3.8091,3.823,152,4535.81905093
618,3.9228,2016-10-14,3.9294,3.8905,3.912,80,2583.17806985
619,3.892,2016-10-15,3.925,3.889,3.9111,34,443.31661623
620,3.881,2016-10-16,3.915,3.8511,3.9097,39,1889.67040363
621,3.8365,2016-10-17,3.9282,3.8178,3.915,172,8510.69711976
622,3.8272,2016-10-18,3.8883,3.8251,3.8401,19,1089.57485063
623,3.8157,2016-10-19,3.8623,3.7853,3.8623,67,2644.81243808
624,3.789,2016-10-20,3.8157,3.7803,3.8157,13,845.24105553
625,3.8569,2016-10-21,3.8569,3.7875,3.815,79,1362.1545429
626,3.918,2016-10-22,3.9995,3.8558,3.8558,204,3710.87978275
627,3.8997,2016-10-23,3.9459,3.8997,3.918,59,1707.48947193
628,3.881,2016-10-24,3.9399,3.881,3.9,49,4000.36527427
629,3.916,2016-10-25,3.933,3.7987,3.881,97,3708.86611779
630,3.9885,2016-10-26,3.995,3.8809,3.9158,136,2843.2690854
631,3.992,2016-10-27,4.08,3.9521,3.9885,274,17945.6508685
632,3.9947,2016-10-28,4.0109,3.8912,3.992,191,9476.47006432
633,4.0898,2016-10-29,4.105,3.9734,3.9943,544,23164.4205073
634,4.03,2016-10-30,4.08,4.0106,4.08,143,5792.7888267
635,4.0,2016-10-31,4.05,4.0,4.03,299,7896.98929014
636,4.11,2016-11-01,4.2,4.0,4.0,729,23574.5670508
637,4.1449,2016-11-02,4.1562,4.0567,4.11,249,10730.8807323
638,3.8601,2016-11-03,4.205,3.8206,4.16,450,21829.2562823
639,3.8979,2016-11-04,3.9189,3.8201,3.8901,180,4422.63482724
640,3.9138,2016-11-05,3.919,3.87,3.919,71,1143.34988939
641,3.9184,2016-11-06,3.9329,3.8554,3.9162,67,897.94608187
642,3.887,2016-11-07,3.9063,3.855,3.9063,13,123.08730382
643,3.8635,2016-11-08,3.88,3.8318,3.85,24,119.46391989
644,3.853,2016-11-09,3.9889,3.842,3.8421,169,2130.80765923
645,3.8192,2016-11-10,3.8842,3.806,3.853,66,932.33362243
646,3.8057,2016-11-11,3.8387,3.8028,3.8377,23,249.05511812
647,3.7754,2016-11-12,3.834,3.7251,3.8087,541,8760.90657038
648,3.883,2016-11-13,3.9349,3.586,3.75,311,12947.9196075
649,3.8997,2016-11-14,3.92,3.842,3.872,53,774.19889883
650,3.9031,2016-11-15,3.9652,3.8531,3.89,191,10423.5056404
651,3.94,2016-11-16,4.0,3.8715,3.8893,185,5667.98577218
652,3.8979,2016-11-17,4.0094,3.8691,3.9499,152,2669.73316221
653,3.909,2016-11-18,3.97,3.8983,3.8983,59,1320.95271904
654,3.9569,2016-11-19,3.9686,3.9005,3.9217,70,1463.63561326
655,3.89,2016-11-20,3.98,3.8501,3.957,151,4469.73044662
656,3.9476,2016-11-21,3.9476,3.8795,3.9198,26,402.32744009
657,3.8991,2016-11-22,3.962,3.8685,3.911,84,1416.18837636
658,3.8609,2016-11-23,3.9262,3.8353,3.898,81,1411.39888827
659,3.8997,2016-11-24,3.91,3.8013,3.88,114,2264.40943861
660,3.8908,2016-11-25,3.8985,3.8511,3.8683,73,1170.80230732
661,3.8231,2016-11-27,3.8773,3.8231,3.8699,26,347.48513814
662,3.873,2016-11-28,3.8839,3.8294,3.8483,96,2200.49566092
663,3.8252,2016-11-29,3.8826,3.7736,3.8496,153,4758.96728935
664,3.8809,2016-11-30,3.8824,3.7981,3.8268,71,1133.87820176
665,3.8777,2016-12-01,3.9048,3.83,3.8809,93,4256.50042813
666,3.9,2016-12-02,3.952,3.8901,3.9,237,6459.43735017
667,3.91,2016-12-03,3.9329,3.8862,3.9222,37,436.03458238
668,3.9056,2016-12-04,3.9192,3.8713,3.904,42,186.42919627
669,3.4783,2016-12-05,3.9095,3.0,3.9095,1937,44214.920408
670,3.52,2016-12-06,3.5364,3.4353,3.4487,275,4342.53615185
671,3.6601,2016-12-07,3.6651,3.4635,3.52,102,3783.45953918
672,3.68,2016-12-08,3.744,3.6501,3.6582,159,4372.25958798
673,3.6987,2016-12-09,3.7101,3.6503,3.6799,47,681.48720184
674,3.6823,2016-12-10,3.7,3.6305,3.7,56,1435.69813946
675,3.633,2016-12-11,3.6822,3.6046,3.6509,124,2936.0422642
676,3.6386,2016-12-12,3.704,3.5055,3.6438,142,11661.033969
677,3.653,2016-12-13,3.67,3.6047,3.6587,47,633.62400664
678,3.6021,2016-12-14,3.6592,3.5789,3.6289,73,2664.26244154
679,3.65,2016-12-15,3.6752,3.5844,3.6179,83,1829.53919774
680,3.6,2016-12-16,3.65,3.6,3.65,40,1167.81084317
681,3.7195,2016-12-17,3.72,3.607,3.6202,123,1685.98042425
682,3.672,2016-12-18,3.7197,3.6685,3.7197,63,2105.05992291
683,3.6493,2016-12-19,3.6887,3.6296,3.6721,97,1175.96651846
684,3.656,2016-12-20,3.6599,3.6318,3.6425,32,329.64556112
685,3.632,2016-12-21,3.7,3.6023,3.6427,235,3712.30105737
686,3.6742,2016-12-22,3.7379,3.6175,3.6416,330,4827.70400425
687,4.6161,2016-12-23,4.6199,3.6044,3.708,2639,121823.195052
688,4.431,2016-12-24,4.684,4.31,4.5975,1264,36797.1309798
689,4.2991,2016-12-25,4.4451,4.1,4.4286,979,43371.2431794
690,4.257,2016-12-26,4.4085,4.1425,4.2996,486,23663.6837194
691,4.3633,2016-12-27,4.4946,4.2413,4.2692,669,24107.5002923
692,4.5976,2016-12-28,4.6383,4.3965,4.3977,1328,36018.4247409
693,4.59,2016-12-29,4.615,4.4431,4.5463,1461,57328.6339756
694,4.4135,2016-12-30,4.581,4.25,4.5582,1127,47526.6721135
695,4.3635,2016-12-31,4.4786,4.2738,4.4063,242,1850.59017047
696,4.4997,2017-01-01,4.5401,4.3457,4.3636,417,9808.92662747
697,4.58,2017-01-02,4.74,4.4486,4.5,1167,41657.1996935
698,4.593,2017-01-03,4.6665,4.4505,4.5868,735,18819.8022164
699,4.59,2017-01-04,4.7222,4.4297,4.5995,1537,41933.9182383
700,4.2127,2017-01-05,4.721,4.1,4.642,3659,99042.5931985
701,3.84,2017-01-06,4.2892,3.799,4.2525,2587,70212.9870174
702,3.963,2017-01-07,3.9999,3.629,3.8676,899,18895.9458562
703,4.02,2017-01-08,4.04,3.92,3.9744,634,14907.9610313
704,4.34,2017-01-09,4.44,3.8926,4.0,1576,50329.933977
705,4.574,2017-01-10,4.659,4.3015,4.34,1577,43285.428178
706,3.9443,2017-01-11,4.619,3.7623,4.5866,5039,137443.898451
707,4.0001,2017-01-12,4.1,3.8067,3.927,1572,23783.5329653
708,3.9262,2017-01-13,4.0389,3.86,4.0001,1491,19287.014498
709,3.9466,2017-01-14,3.9952,3.86,3.9448,776,12920.4311233
710,3.9135,2017-01-15,3.9506,3.8193,3.9466,433,4198.45431041
711,3.8927,2017-01-16,3.939,3.8255,3.9125,328,3162.80501539
712,3.95,2017-01-17,4.0199,3.8401,3.8515,1105,25498.7164173
713,3.8949,2017-01-18,3.958,3.7949,3.95,711,13869.3823597
714,3.907,2017-01-19,3.9499,3.8053,3.895,447,13266.2443208
715,3.9098,2017-01-20,3.938,3.8601,3.899,215,6897.6121026
716,3.9208,2017-01-21,3.9533,3.88,3.9009,152,2736.62997681
717,3.85,2017-01-22,3.9259,3.8,3.9237,213,6736.3817326
718,3.8246,2017-01-23,3.8621,3.7809,3.8462,220,8285.10216352
719,3.733,2017-01-24,3.8636,3.7322,3.802,697,9778.27979271
720,3.711,2017-01-25,3.772,3.665,3.7491,194,5824.2258164
721,3.7425,2017-01-26,3.7425,3.7425,3.7425,1,4.088137
722,4.0382,2017-01-30,4.0382,4.0382,4.0382,3,55.626909
723,4.0649,2017-01-31,4.0665,4.0649,4.0665,4,250.95
724,4.0352,2017-02-01,4.0352,4.0227,4.0227,4,9.3421
725,4.0283,2017-02-03,4.0284,4.0283,4.0284,2,243.35472711
726,3.9701,2017-02-04,4.0,3.9621,3.9774,42,1743.32253523
727,3.9403,2017-02-06,3.9403,3.9403,3.9403,1,2.60649138
728,3.958,2017-02-07,4.002,3.9564,3.9653,50,2171.02434475
729,3.9208,2017-02-08,4.01,3.8602,3.9932,638,12828.1377259
730,3.737,2017-02-09,3.9899,3.61,3.9312,2240,82576.5904377
731,3.8296,2017-02-10,3.8299,3.6494,3.737,1080,35274.4438885
732,3.8153,2017-02-11,3.8299,3.7701,3.8192,214,4802.45570041
733,3.7394,2017-02-12,3.8085,3.7394,3.782,238,8220.63840765
734,3.7698,2017-02-13,3.7767,3.701,3.7487,171,7573.55105223
735,3.83,2017-02-14,3.842,3.7215,3.7415,280,10596.2491513
736,3.8933,2017-02-15,3.905,3.8043,3.84,250,11986.2423868
737,3.8831,2017-02-16,3.94,3.8524,3.8645,256,14135.3844688
738,3.8961,2017-02-17,3.9297,3.84,3.9016,448,15251.0179031
739,3.8139,2017-02-18,3.9295,3.8139,3.89,290,21289.4141867
740,3.8,2017-02-19,3.8433,3.7528,3.8433,613,25566.2747835
741,3.8086,2017-02-20,3.8569,3.7514,3.7718,749,31366.1242577
742,3.8566,2017-02-21,3.886,3.7835,3.795,694,13978.1083559
743,3.9009,2017-02-22,3.92,3.8272,3.8573,220,15416.1993438
744,3.9057,2017-02-23,3.961,3.8608,3.8971,1587,21197.585499
745,3.9488,2017-02-24,3.98,3.8087,3.9353,1092,29479.4370704
746,3.8801,2017-02-25,3.9687,3.88,3.951,300,8369.32948745
747,3.8747,2017-02-26,3.9294,3.819,3.9102,564,22495.3021239
748,3.8728,2017-02-27,3.9012,3.83,3.8761,646,13762.654948
749,3.8061,2017-02-28,3.8995,3.787,3.8901,537,11986.0930071
750,3.851,2017-03-01,3.9325,3.778,3.7806,824,17491.0751532
751,4.0601,2017-03-02,4.27,3.8169,3.8875,2988,136974.317118
752,4.1105,2017-03-03,4.1386,4.0,4.0083,863,34656.0428078
753,4.0,2017-03-04,4.0999,3.9431,4.0999,341,15712.8344516
754,4.0137,2017-03-05,4.0195,3.9529,3.98,179,4126.46952619
755,4.1003,2017-03-06,4.1004,3.9812,4.014,311,18125.2069145
756,4.0063,2017-03-07,4.101,3.9173,4.1002,485,22069.2093997
757,3.8669,2017-03-08,3.9898,3.8197,3.962,674,19479.0745316
758,3.8734,2017-03-09,3.9613,3.8359,3.8678,573,15689.6346394
759,3.8109,2017-03-10,4.0963,3.735,3.9149,2409,123884.893352
760,3.806,2017-03-11,3.8875,3.7404,3.78,373,15497.8486982
761,3.8701,2017-03-12,3.9199,3.7794,3.79,469,23587.4597136
762,4.3739,2017-03-13,4.47,3.8152,3.868,2024,111223.36744
763,4.1707,2017-03-14,4.3899,4.112,4.37,1015,51845.262818
764,4.3061,2017-03-15,4.3798,4.112,4.1987,717,38930.9617483
765,4.2982,2017-03-16,4.559,4.2,4.296,3154,158243.140365
766,4.1,2017-03-17,4.3522,4.015,4.3521,2266,107488.172334
767,4.0049,2017-03-18,4.3,3.7794,4.1001,3007,170091.495572
768,3.9371,2017-03-19,4.115,3.886,4.0049,2151,77181.3691676
769,4.0584,2017-03-20,4.06,3.8409,3.9372,844,31185.9527417
770,4.0173,2017-03-21,4.0776,3.9601,4.0585,995,70127.3004033
771,3.9546,2017-03-22,4.0174,3.811,4.0173,1529,82914.343782
772,4.0076,2017-03-23,4.0399,3.8979,3.9584,555,18255.1897051
773,4.1403,2017-03-24,4.34,3.9171,4.03,3548,211413.731762
